Field=Designator~String~Designator~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|Field=Value~String~Value~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~shield.PrjPCB|ReportField=ProjectFullPath~C:\Users\Patrick\Dropbox\GitHub\Quadcopter\Altium files\shield.PrjPCB|ReportField=Title~Bill of Materials For Schematic Document [Prismino_Copter.SchDoc]|ReportField=TotalQuantity~31|ReportField=ReportTime~19:00:09|ReportField=ReportDate~23/04/2014|ReportField=ReportDateTime~23/04/2014 19:00:09|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~23/04/2014|ReportField=CurrentTime~19:00:08|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\Patrick\Dropbox\GitHub\Quadcopter\Altium files\Prismino_Copter.SchDoc|ReportField=DocumentName~Prismino_Copter.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~20/04/2014|ReportField=Organization~|ReportField=ProjectName~shield.PrjPCB|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~Prismino_Copter.SchDoc|ReportField=DataSourceFullPath~C:\Users\Patrick\Dropbox\GitHub\Quadcopter\Altium files\Prismino_Copter.SchDoc
R1, R2, R3, R4, R5|Res1|5|10K, 100k
C1, C2, C3, C4, C5, C6, C7|C0805|7|0.1 uF, 0.1uF, 2.2nF, 10nF
3V Source|Header 2|1|
3V, 5V|Micromatch-I2C|2|
AUX1, ESC1, ESC2, ESC3, ESC4, PITCH, ROLL, THR, YAW|Header 3|9|
ISP|Header 3X2|1|
J0, J1|resistor|2|0
MPU-9150|MPU-9150|1|
PCA9306|Component_1_1|1|
shield|Leonardo pins|1|
TLV70033DDCR|TLV700xx|1|
